Table: Table A.5: SPDE: 2002-2009

|                       |        ICEWS        |         GED         |        CINEP        | ICEWS - Underreporing | GED - Underreporting |
|:----------------------|:-------------------:|:-------------------:|:-------------------:|:---------------------:|:--------------------:|
|Intercept              |       -5.662        |       -7.239        |       -8.324        |        -4.223         |        -3.336        |
|Intercept              | [ -7.809,   -3.512] | [-11.281,   -3.917] | [-13.707,   -4.154] |  [ -8.652,   -0.771]  | [ -6.367,   -0.588]  |
|Dist. Bogota, km (log) |        0.211        |        0.408        |        0.595        |         0.264         |        0.156         |
|Dist. Bogota, km (log) | [ -0.111,    0.518] | [ -0.081,    0.980] | [ -0.040,    1.388] |  [ -0.266,    0.935]  | [ -0.261,    0.610]  |
|Population (log)       |        0.355        |        0.368        |        0.376        |         0.140         |        0.110         |
|Population (log)       | [  0.260,    0.454] | [  0.267,    0.473] | [  0.275,    0.479] |  [  0.039,    0.241]  | [  0.008,    0.208]  |
|TRI                    |        0.006        |        0.014        |        0.018        |         0.010         |        0.007         |
|TRI                    | [  0.000,    0.013] | [  0.007,    0.020] | [  0.011,    0.024] |  [  0.003,    0.016]  | [  0.001,    0.013]  |
|Kappa                  |        5.675        |        0.994        |        1.258        |         1.542         |        1.943         |
|Kappa                  | [  0.832,   24.057] | [  0.387,    1.898] | [  0.576,    2.301] |  [  0.617,    3.035]  | [  0.572,    4.727]  |
|Sigma                  |        1.265        |        0.792        |        2.021        |         1.039         |        0.621         |
|Sigma                  | [  0.064,    8.324] | [  0.302,    1.565] | [  0.928,    3.591] |  [  0.481,    1.861]  | [  0.196,    1.402]  |
|Range                  |       55.046        |       315.849       |       249.654       |        203.601        |       161.467        |
|Range                  | [  3.375,  156.224] | [123.612,  605.266] | [108.404,  436.257] |  [ 76.615,  381.758]  | [ 39.859,  348.192]  |
|LogLik                 |      -465.648       |      -452.414       |      -527.630       |       -492.082        |       -475.855       |
|N                      |        1116         |        1116         |        1116         |         1116          |         1116         |
